영문항공사명,korAirline,carrierCode,항공사코드2(ICAO),항공사상태,사업모델,국가,지역
Royal Daisy Airlines,로얄 데이지항공,6D,KDR,Ceased Operations,Regional/Commuter,Uganda,중동아프리카
Royal Falcon,로얄 팔콘,n/a,RFJ,Ceased Operations,Charter,Jordan,중동아프리카
Royal Flight,로얄 플라이트,RL,ABG,Grounded,Charter,Russian Federation,유럽
Royal Fly-GH Airline,로얄 플라이-GH 항공,n/a,n/a,Failed startup,Regional/Commuter,Ghana,중동아프리카
Royal Jordanian,로얄 요르단 항공,RJ,RJA,Active,Full Service Carrier,Jordan,중동아프리카
Royal Zambian Airlines,로얄 잠비아 항공,3Q,QZR,Active,Regional/Commuter,Zambia,중동아프리카
Run Aviation,런 항공,n/a,n/a,Active,Charter,Reunion,중동아프리카
Rus Aviation,루스 항공,n/a,n/a,Active,Cargo,United Arab Emirates,중동아프리카
RusJet,루스 제트,n/a,RSJ,Active,Charter,Russian Federation,유럽
Ruslan International,루슬란 국제 항공,n/a,n/a,Ceased Operations,Charter,United Kingdom,유럽
RusLine,루스라인,7R,RLU,Active,Regional/Commuter,Russian Federation,유럽
Russian Sky,러시안 스카이 항공,P7,ESL,Active,Charter,Russian Federation,유럽
Rutaca,루타카 항공,5R,RUC,Active,Full Service Carrier,Venezuela,중남미
RVL Aviation,RVL 항공,n/a,REV,Active,Charter,United Kingdom,유럽
RVR Aircraft Charter,RVR 항공 차터,n/a,n/a,Active,Charter,United States of America,북미캐나다
RwandAir,르완다 항공,WB,RWD,Active,Full Service Carrier,Rwanda,중동아프리카
Ryan Air Services,라이언 에어서비스,7S,RYA,Active,Cargo,United States of America,북미캐나다
Ryan International Airlines,라이언 국제 항공,RD,RYN,Ceased Operations,Charter,United States of America,북미캐나다
Ryanair,라이언에어,FR,RYR,Active,Low Cost Carrier,Ireland,유럽
Ryanair UK,라이언에어 영국,RK,RUK,Active,Low Cost Carrier,United Kingdom,유럽
Ryukyu Air Commuter,류큐 에어 커뮤터,n/a,n/a,Active,Regional/Commuter,Japan,아시아태평양
S7 Airlines,S7 항공,S7,SBI,Active,Full Service Carrier,Russian Federation,유럽
SA Express,SA 익스프레스,XZ,EXY,Ceased Operations,Regional/Commuter,South Africa,중동아프리카
Safair,사페어,FA,SFR,Active,Charter,South Africa,중동아프리카
Safari AirLink,사파리 에어링크,n/a,n/a,Active,Regional/Commuter,Tanzania,중동아프리카
Safari Express Cargo,사파리 익스프레스 카고,ZF,SXY,Active,Cargo,Kenya,중동아프리카
Safarilink,사파리 링크 항공,F2,XLK,Active,Regional/Commuter,Kenya,중동아프리카
Safe Air Company,세이프 에어 컴퍼니,K3,SAQ,Active,Charter,Kenya,중동아프리카
Safi Airways,사피 항공,4Q,SFW,Ceased Operations,Full Service Carrier,Afghanistan,중동아프리카
Saga Airlines,사가 항공,n/a,n/a,Ceased Operations,Charter,Turkiye,유럽
Saga Myanmar,사가 미얀마 항공,n/a,n/a,Failed startup,Charter,Myanmar,아시아태평양
Saha Airlines,사하 항공,n/a,IRZ,Active,Full Service Carrier,Iran,중동아프리카
Saint Barth Commuter,세인트바스 커뮤터,PV,SBU,Active,Regional/Commuter,Saint Barthelemy,중남미
Saint-Ex Cargo,세인터-EX 화물항공,n/a,n/a,Active,Cargo,Mexico,중남미
Saipan Air,사이판 항공,n/a,n/a,Ceased Operations,Regional/Commuter,Northern Mariana Islands,아시아태평양
S-Air,S 항공,n/a,n/a,Active,Charter,Austria,유럽
Sakaviaservice,사카비아서비스,n/a,n/a,Ceased Operations,Cargo,Georgia,유럽
Salalah Air,살랄라 항공,n/a,n/a,Failed startup,Charter,Oman,중동아프리카
SalamAir,살람 에어,OV,OMS,Active,Low Cost Carrier,Oman,중동아프리카
Salmon Air,살몬 에어,n/a,n/a,Active,Charter,United States of America,북미캐나다
Salsa d'Haiti,살사 다아이티,SO,SLC,Active,Regional/Commuter,Haiti,중남미
Sama,사마 항공,n/a,n/a,Ceased Operations,Low Cost Carrier,Saudi Arabia,중동아프리카
Samaritans Purse,사마리탄 프세 항공,n/a,NSP,Active,Charter,United States of America,북미캐나다
Samoa Air,사모아 항공,n/a,n/a,Active,Regional/Commuter,Samoa,아시아태평양
Samoa Airways,사모아 에어웨이,OL,PAO,Active,Full Service Carrier,Samoa,아시아태평양
San Juan Airlines,산후안 항공,n/a,SJN,Active,Regional/Commuter,United States of America,북미캐나다
SANSA,SANSA 항공,RZ,LRS,Active,Regional/Commuter,Costa Rica,중남미
SAP,SAP 항공,5S,PSV,Active,Charter,Dominican Republic,중남미
Sarasota Airlines,세러소타 항공,n/a,n/a,Failed startup,Low Cost Carrier,United States of America,북미캐나다
SARPA,사르파 항공,n/a,n/a,Active,Charter,Colombia,중남미
SAS,SAS 랑공,SK,SAS,Active,Full Service Carrier,Sweden,유럽
SAS Connect,SAS 연결,SL,SZS,Active,Full Service Carrier,Ireland,유럽
SAS Link,SAS 링크,n/a,SVS,Active,Regional/Commuter,Sweden,유럽
SAT Airlines,SAT 항공,HZ,SHU,Ceased Operations,Full Service Carrier,Russian Federation,유럽
SATA Air Azores,SATA 에어 아조레스,SP,SAT,Active,Regional/Commuter,Portugal,유럽
SATENA,사테나 항공,9R,NSE,Active,Regional/Commuter,Colombia,중남미
Saudia,사우디아 항공,SV,SVA,Active,Full Service Carrier,Saudi Arabia,중동아프리카
Saudia Cargo,사우디아 화물항공,n/a,n/a,Active,Cargo,Saudi Arabia,중동아프리카
Saudia Private,사우디아 민간항공,n/a,n/a,Active,Charter,Saudi Arabia,중동아프리카
SaudiGulf Airlines,사우디걸프 항공,6S,SGQ,Grounded,Full Service Carrier,Saudi Arabia,중동아프리카
Saurya Airlines,사우리야항공,n/a,n/a,Active,Regional/Commuter,Nepal,아시아태평양
SAX-Tanzania,SAX 탄자니아 항공,n/a,n/a,Failed startup,Charter,Tanzania,중동아프리카
Sayakhat,사야카트,W7,SAH,Ceased Operations,Charter,Kazakhstan,아시아태평양
SBA Airlines,SBA 항공,S3,BBR,Ceased Operations,Full Service Carrier,Venezuela,중남미
ScanBlu Airlines,스칸블루 항공,n/a,CBU,Failed startup,Charter,Sweden,유럽
SCAT Airlines,스캇 항공,DV,VSV,Active,Full Service Carrier,Kazakhstan,아시아태평양
SCD Aviation,SCD 항공,n/a,SCY,Ceased Operations,Charter,Gabon,중동아프리카
Scenic Airlines,시닉 항공,YR,SCE,Active,Regional/Commuter,United States of America,북미캐나다
Scoot,스쿳,TR,TGW,Active,Low Cost Carrier,Singapore,아시아태평양
ScotAirways,스캇 항공,CB,SAY,Ceased Operations,Regional/Commuter,United Kingdom,유럽
Sea Air,씨 항공,n/a,SIB,Ceased Operations,Full Service Carrier,Croatia,유럽
Seabird Airlines,씨버드 항공,n/a,n/a,Ceased Operations,Regional/Commuter,Turkiye,유럽
Seaborne Airlines,시본 항공,BB,SBS,Active,Regional/Commuter,Virgin Islands US,북미캐나다
SEAir International,씨에어 인터내셔널,XO,SGD,Active,Regional/Commuter,Philippines,아시아태평양
Seair Pacific Gold Coast,씨에어 퍼시픽 골드코스트,n/a,n/a,Active,Charter,Australia,아시아태평양
Seair Seaplanes,씨에어 수상비행기,n/a,n/a,Active,Charter,Canada,북미캐나다
SeaPort Airlines,씨포트 항공,K5,SQH,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
Seawings,시윙스,n/a,n/a,Active,Charter,United Arab Emirates,중동아프리카
Senegal Airlines,세네갈 항공,DN,SGG,Ceased Operations,Full Service Carrier,Senegal,중동아프리카
Sentra Airways,센트라 항공,n/a,SER,Failed startup,Charter,United Kingdom,유럽
Sepahan Airlines,세파한항공,H8,SPN,Ceased Operations,Regional/Commuter,Iran,중동아프리카
Sepehran Airlines,세페란항공,IS,SHI,Active,Full Service Carrier,Iran,중동아프리카
SereneAir,세린 에어,ER,SEP,Active,Full Service Carrier,Pakistan,아시아태평양
Servant Air,서번트 에어,n/a,n/a,Active,Regional/Commuter,United States of America,북미캐나다
Serve Air Cargo,서버 화물항공,n/a,n/a,Active,Cargo,Democratic Republic of the Congo,중동아프리카
Services Air,서비스 항공,n/a,n/a,Ceased Operations,Cargo,Democratic Republic of the Congo,중동아프리카
Servicios Aereos de Los Andes S.A.C,안데스 항공 서비스,n/a,AND,Active,Charter,Peru,중남미
Servicios Executivos Aereos de Angola,앙골라 항공,n/a,n/a,Active,Charter,Angola,중동아프리카
Sete Linhas Aereas,세테 항공,n/a,SLX,Ceased Operations,Regional/Commuter,Brazil,중남미
Sevenair,세븐에어,n/a,RVP,Active,Regional/Commuter,Portugal,유럽
Severstal Aircompany,세버스탈 에어컴퍼니,D2,SSF,Active,Regional/Commuter,Russian Federation,유럽
Seychelles Airlines,세이셸 항공,n/a,SCH,Startup,Full Service Carrier,Seychelles,중동아프리카
SF Airlines,SF 항공,O3,CSS,Active,Cargo,China,아시아태평양
Shaheen Air International,샤힌 에어 인터내셔널,n/a,SAI,Ceased Operations,Full Service Carrier,Pakistan,아시아태평양
Shandong Airlines,산동 항공,SC,CDG,Active,Full Service Carrier,China,아시아태평양
Shanghai Airlines,상해 항공,FM,CSH,Active,Full Service Carrier,China,아시아태평양
Shankh Air,샹크 항공,n/a,n/a,Startup,Full Service Carrier,India,아시아태평양
Sharp Airlines,샤프 항공,SH,n/a,Active,Regional/Commuter,Australia,아시아태평양
Shenzhen Airlines,선전 항공,ZH,CSZ,Active,Full Service Carrier,China,아시아태평양
Shenzhen Shenhui Airlines,심천 선회 항공,n/a,n/a,Failed startup,Low Cost Carrier,China,아시아태평양
Shirak Avia,시라크 항공,5G,SHS,Active,Regional/Commuter,Armenia,유럽
Shoreline Aviation,쇼어라인 항공,n/a,CST,Ceased Operations,Charter,United States of America,북미캐나다
Shree Airlines,슈리 항공,N9,SHA,Active,Charter,Nepal,아시아태평양
Shuttle America,셔틀 아메리카,S5,TCF,Ceased Operations,Regional/Commuter,United States of America,북미캐나다
Siam Air Transport,시암 항공 운송,O8,SQM,Ceased Operations,Full Service Carrier,Thailand,아시아태평양
SiamJet Airlines,시암젯트 항공,n/a,n/a,Failed startup,Regional/Commuter,Thailand,아시아태평양
Sibirskaya Legkaya Aviatsiya,시비르스카야 레그카야 아비아치야,n/a,n/a,Active,Charter,Russian Federation,유럽
Sichuan Airlines,쓰촨 항공,3U,CSC,Active,Full Service Carrier,China,아시아태평양
Sichuan Shuanglong Airlines,쓰촨 쌍용 항공,n/a,n/a,Startup,Cargo,China,아시아태평양
Sideral Air Cargo,사이드 항공 화물,n/a,SID,Active,Cargo,Brazil,중남미
Sierra Pacific Airlines,시에라 퍼시픽 항공,SI,SPA,Active,Charter,United States of America,북미캐나다
Silk Avia,실크 아비아,US,USA,Active,Regional/Commuter,Uzbekistan,아시아태평양
Silk Way Airlines,실크웨이 항공,ZP,AZQ,Active,Cargo,Azerbaijan,유럽
Silk Way East Airlines,실크웨이 이스트 항공,n/a,n/a,Startup,Cargo,Azerbaijan,유럽
Silk Way Italia ,실크웨이 이탈리아 ,n/a,n/a,Active,Cargo,Italy,유럽
Silk Way West Airlines,실크웨이 웨스트 항공,7L,AZG,Active,Cargo,Azerbaijan,유럽
SilkAir,실크에어,MI,SLK,Ceased Operations,Full Service Carrier,Singapore,아시아태평양
Silver Air Czech Republic,실버에어 체코공화국,n/a,SLD,Active,Regional/Commuter,Czech Republic,유럽
Silver Airways,실버항공,3M,SIL,Active,Regional/Commuter,United States of America,북미캐나다
Silverback Cargo Freighters,실버백 화물 프레이터,n/a,VRB,Ceased Operations,Cargo,Rwanda,중동아프리카
Silverstone Air Services,실버스톤 항공 서비스,K5,SLR,Active,Full Service Carrier,Kenya,중동아프리카
Simargl,시마글 항공,n/a,SMN,Active,Charter,Russian Federation,유럽
Simb Airlines,심브 항공,n/a,n/a,Active,Charter,Central African Republic,중동아프리카
Simplifly,심플리플라이 항공,n/a,n/a,Active,Charter,Sri Lanka,아시아태평양
Simrik Airlines,시리크 항공,n/a,RMK,Ceased Operations,Full Service Carrier,Nepal,아시아태평양
Singapore Airlines,싱가포르 항공,SQ,SIA,Active,Full Service Carrier,Singapore,아시아태평양
Singapore Airlines Cargo,싱가포르 화물항공,SQ,SQC,Active,Cargo,Singapore,아시아태평양
SINO-LAC Airlines,SINO-LAC 항공,n/a,n/a,Startup,Charter,China,아시아태평양
Sirius Airlines,시리우스 항공,n/a,n/a,Startup,Low Cost Carrier,South Korea,아시아태평양
Sita Air,시타 항공,n/a,n/a,Active,Regional/Commuter,Nepal,아시아태평양
Skaneflyg,스카니아 항공,n/a,n/a,Active,Regional/Commuter,Sweden,유럽
Skies Airlines,스카이스 항공,n/a,n/a,Active,Charter,Sweden,유럽
Skippers Aviation,스키퍼스 항공,HK,n/a,Active,Regional/Commuter,Australia,아시아태평양
SKOL Airlines,SKOL 항공,n/a,CDV,Active,Charter,Russian Federation,유럽
SKS Airways,SKS 항공,KI,SJB,Active,Regional/Commuter,Malaysia,아시아태평양
SKY Airline Chile,스카이 칠레 항공,H2,SKU,Active,Low Cost Carrier,Chile,중남미
Sky Airlines Turkiye,스카이 터키 항공,n/a,n/a,Ceased Operations,Charter,Turkiye,유럽
Sky Alps,스카이 알프스 항공,BQ,SWU,Active,Virtual Carrier,Italy,유럽
Sky Angkor Airlines,스카이 앙코르 항공,ZA,SWM,Active,Charter,Cambodia,아시아태평양
Sky Aviation,스카이 항공,n/a,n/a,Active,Full Service Carrier,Indonesia,아시아태평양
Sky Bishkek,스카이 비슈케크,GY,BIS,Ceased Operations,Regional/Commuter,Kyrgyzstan,아시아태평양
Sky Cana,스카이 카나,RD,SNA,Active,Virtual Carrier,Dominican Republic,중남미
SKY express,스카이 익스프레스,GQ,SEH,Active,Regional/Commuter,Greece,유럽
Sky Gabon,스카이 가봉,n/a,SKG,Ceased Operations,Cargo,Gabon,중동아프리카
Sky Gates Airlines,스카이게이트 항공,U3,SAY,Active,Cargo,Russian Federation,유럽
Sky Georgia,스카이 조지아,QB,GFG,Ceased Operations,Full Service Carrier,Georgia,유럽
Sky Greenland,스카이 그린란드,n/a,n/a,Failed startup,Charter,Greenland,유럽
Sky KG airlines,스카이 KG 항공,Y3,KGK,Active,Charter,Kyrgyzstan,아시아태평양
SKY Linhas Aereas,스카이 항공,n/a,n/a,Failed startup,Charter,Brazil,중남미
Sky Mali,스카이 말리,ML,FML,Active,Regional/Commuter,Mali,중동아프리카
Sky Palace Airways,스카이팰리스 항공,n/a,n/a,Failed startup,Full Service Carrier,United States of America,북미캐나다
SKY Peru,스카이 페루,H8,SKX,Active,Low Cost Carrier,Peru,중남미
Sky Prime,스카이 프라임,UY,SPD,Active,Charter,Saudi Arabia,중동아프리카
Sky Regional Airlines,스카이 리지널 항공,KV,SKV,Ceased Operations,Regional/Commuter,Canada,북미캐나다
Sky Shuttle Helicopters Limited,스카이 셔틀 헬리콥터스 리미티드,3E,EMU,Active,Charter,Hong Kong,아시아태평양
Sky Wings Airlines,스카이 윙즈 항공,n/a,n/a,Ceased Operations,Charter,Greece,유럽
SkyAero Kenya,스카이 에어로 케냐,n/a,n/a,Ceased Operations,Regional/Commuter,Kenya,중동아프리카
SkyAir,스카이 항공,S8,AHW,Active,Cargo,Bangladesh,아시아태평양
SkyBahamas,스카이 바하마,Q7,SBM,Ceased Operations,Regional/Commuter,Bahamas,중남미
SkyBird Airlines,스카이버드 항공,n/a,SBL,Startup,Charter,Egypt,중동아프리카
Skybus Jet Cargo,스카이버스 제트 카고,n/a,HVY,Active,Cargo,United States of America,북미캐나다
SkyExpress,스카이 익스프레스,XW,SXR,Ceased Operations,Low Cost Carrier,Russian Federation,유럽
Skyforce Aviation,스카이포스 항공,n/a,n/a,Ceased Operations,Charter,Australia,아시아태평양
SkyGreece Airlines,스카이 그리스 항공,GW,SGR,Ceased Operations,Charter,Greece,유럽
SKYhigh Dominicana,스카이하이 도미니카나,DO,SHH,Active,Regional/Commuter,Dominican Republic,중남미
SkyJet Airlines,스카이제트 항공,M8,MSJ,Active,Full Service Carrier,Philippines,아시아태평양
Skyjet Airways,스카이제트 항공,n/a,n/a,Failed startup,Full Service Carrier,India,아시아태평양
Skyjet Uganda,스카이제트 우간다,UQ,SJU,Ceased Operations,Full Service Carrier,Uganda,중동아프리카
Skylar Airways,스카이라 항공,n/a,n/a,Failed startup,Charter,Thailand,아시아태평양
Skylease Cargo,스카이리스 카고,GG,KYE,Active,Cargo,United States of America,북미캐나다
SkyLine air services,스카이라인 항공 서비스,n/a,SMT,Active,Cargo,Germany,유럽
Skyline Express,스카이라인 익스프레스,QU,UTN,Active,Charter,Ukraine,유럽
Skylux Avia,스카이룩스 항공,n/a,n/a,Active,Virtual Carrier,Ukraine,유럽
Skymark Airlines,스카이마크 항공,BC,SKY,Active,Low Cost Carrier,Japan,아시아태평양
Skynet Armenia,스카이네트 아르메니아,n/a,SKJ,Active,Charter,Armenia,유럽
Skyservice Business Aviation,스카이서비스 비즈니스 에비에이션,n/a,SYB,Active,Charter,Canada,북미캐나다
Skytaxi,스카이택시,TE,IGA,Active,Charter,Poland,유럽
Skytraders,스카이 트레이더,n/a,SND,Active,Charter,Australia,아시아태평양
Skytrans,스카이트랜스,QN,SKP,Active,Regional/Commuter,Australia,아시아태평양
SkyUp,스카이업,PQ,SQP,Active,Low Cost Carrier,Ukraine,유럽
SkyUp MT,스카이업 MT,U5,SEU,Active,Low Cost Carrier,Malta,유럽
SkyValue Airways,스카이밸류 항공,n/a,n/a,Ceased Operations,Virtual Carrier,United States of America,북미캐나다
Skyward Express,스카이워드 익스프레스,OW,SEW,Active,Charter,Kenya,중동아프리카
SKYWAY Costa Rica,스카이웨이 코스타리카,LC,GCS,Active,Full Service Carrier,Costa Rica,중남미
Skyways,스카이웨이즈 항공,JZ,SKX,Ceased Operations,Regional/Commuter,Sweden,유럽
SkyWest Airlines,스카이웨스트 항공,OO,SKW,Active,Regional/Commuter,United States of America,북미캐나다
Skywise,스카이와이즈,n/a,SWZ,Ceased Operations,Low Cost Carrier,South Africa,중동아프리카
SkyWork Airlines,스카이워크 항공,SX,SRK,Ceased Operations,Full Service Carrier,Switzerland,유럽
Slok Air,슬록 항공,S0,OKS,Ceased Operations,Full Service Carrier,Gambia,중동아프리카
Small Planet Airlines Cambodia,스몰플라넷 캄보디아 항공,RD,LKH,Ceased Operations,Charter,Cambodia,아시아태평양
Small Planet Airlines Germany,스몰플라넷 독일 항공,5P,LLX,Ceased Operations,Charter,Germany,유럽
Small Planet Airlines Lithuania,스몰플라넷 리투아니아 항공,S5,LLC,Ceased Operations,Charter,Lithuania,유럽
Small Planet Airlines Poland,스몰플라넷 폴란드 항공,P7,LLP,Ceased Operations,Charter,Poland,유럽
Smartavia,스마타비아,5N,AUL,Active,Low Cost Carrier,Russian Federation,유럽
SmartLynx Airlines,스마트링스 항공,6Y,ART,Active,Charter,Latvia,유럽
SmartLynx Airlines Estonia,스마트링스 항공 에스토니아,n/a,MYX,Active,Charter,Estonia,유럽
SmartLynx Malta,스마트링스 항공 몰타,2N,LYX,Active,Charter,Malta,유럽
Smartwings,스마트윙스,QS,TVS,Active,Low Cost Carrier,Czech Republic,유럽
Smartwings Germany,스마트윙즈 독일,n/a,n/a,Failed startup,Charter,Germany,유럽
Smartwings Hungary,스마트윙스 헝가리,7O,TVL,Active,Charter,Hungary,유럽
Smartwings Polska,스마트윙스 폴란드,3Z,TVP,Active,Charter,Poland,유럽
Smartwings Slovakia,스마트윙스 슬로바키아,6D,TVQ,Active,Charter,Slovakia,유럽
Smile Air,스마일 에어,n/a,n/a,Failed startup,Full Service Carrier,Ghana,중동아프리카
Smokey Bay Air,스모키베이 에어,2E,n/a,Active,Regional/Commuter,United States of America,북미캐나다
Snowbird Airlines,스노우버드 항공,n/a,n/a,Active,Charter,Finland,유럽
Societe Nouvelle Air Congo,소시에테 누벨 에어 콩고,n/a,n/a,Active,Full Service Carrier,Democratic Republic of the Congo,중동아프리카
SOL,SOL 항공,8R,OLS,Ceased Operations,Regional/Commuter,Argentina,중남미
Sol del Paraguay Lineas Aereas,SOL 파라과이 항공,n/a,SGU,Active,Full Service Carrier,Paraguay,중남미
Sol Linhas Aereas,SOL 항공,n/a,SBA,Ceased Operations,Charter,Brazil,중남미
Solaris Airlines,솔라리스 항공,n/a,n/a,Failed startup,Charter,Russian Federation,유럽
Solaseed Air,솔라시드 에어 ,6J,SNJ,Active,Low Cost Carrier,Japan,아시아태평양
Solenta Aviation,솔런트 항공,n/a,SET,Active,Charter,South Africa,중동아프리카
Solenta Aviation Gabon,솔렌타 항공 가봉,n/a,SVG,Active,Charter,Gabon,중동아프리카
Solenta Aviation Mozambique,솔렌타 항공 모잠비크,FW,MFJ,Active,Charter,Mozambique,중동아프리카
Solinair,솔리네어,SP,SOP,Active,Cargo,Slovenia,유럽
Solomon Airlines,솔로몬 항공,IE,SOL,Active,Full Service Carrier,Solomon Islands,아시아태평양
Solyom Hungarian Airways,솔롬 헝가리 항공,n/a,HUN,Failed startup,Full Service Carrier,Hungary,유럽
Somali Airlines,소말리아 항공,HH,SOM,Ceased Operations,Full Service Carrier,Somalia,중동아프리카
Somon Air,소몬에어,SZ,SMR,Active,Full Service Carrier,Tajikistan,아시아태평양
Sonair,차이나 소난골 국제항공,n/a,SOR,Active,Charter,Angola,중동아프리카
Songbird Airways,송버드 항공,SK,SGB,Active,Charter,United States of America,북미캐나다
Sophia Airlines,소피아 항공,n/a,n/a,Active,Charter,Cote d'Ivoire,중동아프리카
South African Airways,남아프리카 항공,SA,SAA,Active,Full Service Carrier,South Africa,중동아프리카
South Airlines,사우스 항공,YG,OTL,Ceased Operations,Regional/Commuter,Ukraine,유럽
South Airlines Armenia,사우스항공 아르메니아,n/a,n/a,Ceased Operations,Charter,Armenia,유럽
South Sudan Airways,남수단 항공,n/a,n/a,Failed startup,Full Service Carrier,South Sudan,중동아프리카
South Supreme Airlines,사우스슈프림 항공,n/a,n/a,Ceased Operations,Regional/Commuter,South Sudan,중동아프리카
South West Air,사우스웨스트 항공,n/a,n/a,Ceased Operations,Charter,Papua New Guinea,아시아태평양
Southeast Airlines,사우스이스트 항공,n/a,n/a,Ceased Operations,Low Cost Carrier,Kenya,중동아프리카
Southern Air,서던에어,9S,SOO,Ceased Operations,Cargo,United States of America,북미캐나다
Southern Air Charter,서던에어 차터,PL,SOA,Active,Regional/Commuter,Bahamas,중남미
Southern Airways Express,서던 익스프레스 항공,9X,FDY,Active,Regional/Commuter,United States of America,북미캐나다
Southern Sky Airlines,서던 스카이 항공,IH,SRS,Active,Regional/Commuter,Kazakhstan,아시아태평양
Southern Star Airlines,서던스타 항공,n/a,n/a,Ceased Operations,Charter,Sudan,중동아프리카
Southwest Airlines,사우스웨스트 항공,WN,SWA,Active,Low Cost Carrier,United States of America,북미캐나다
Southwind Airlines,사우스윈드 항공,2S,STW,Active,Full Service Carrier,Turkiye,유럽
Sovika Aviation Services,소비카 항공 서비스,n/a,n/a,Active,Cargo,India,아시아태평양
Spanair,스팬에어,JK,JKK,Ceased Operations,Full Service Carrier,Spain,유럽
Spark Avia,스파크 아비아,n/a,n/a,Ceased Operations,Charter,Russian Federation,유럽
Sparrow Aviation,스패로우 항공,n/a,n/a,Active,Regional/Commuter,Sweden,유럽
SpiceJet,스파이스 제트,SG,SEJ,Active,Low Cost Carrier,India,아시아태평양
SpiceXpress,스파이스 익스프레스,SG,SEJ,Active,Cargo,India,아시아태평양
Spirit Airlines,스피릿 항공,NK,NKS,Active,Low Cost Carrier,United States of America,북미캐나다
Spirit of Manila Airlines,스피릿 오브 마닐라 항공,n/a,n/a,Ceased Operations,Low Cost Carrier,Philippines,아시아태평양
Spring Airlines,춘추 항공,9C,CQH,Active,Low Cost Carrier,China,아시아태평양
Spring Japan,일본 춘추 항공,IJ,SJO,Active,Low Cost Carrier,Japan,아시아태평양
SprintAir,스프린트 에어,P8,SRN,Active,Regional/Commuter,Poland,유럽
SriLankan Airlines,스리랑카 항공,UL,ALK,Active,Full Service Carrier,Sri Lanka,아시아태평양
SriLankan AirTaxi,스리랑카 에어택시,n/a,n/a,Active,Regional/Commuter,Sri Lanka,아시아태평양
Sriwijaya Air,수르위자야 항공,SJ,SJY,Active,Full Service Carrier,Indonesia,아시아태평양
Stabo Air,스타보에어,4E,SBO,Active,Cargo,Zambia,중동아프리카
Star Air Aviation,스타 에어 에비에이션,n/a,URJ,Active,Cargo,Pakistan,아시아태평양
Star Air Cargo,스타 에어 카고,n/a,BRH,Active,Cargo,South Africa,중동아프리카
Star Air India,스타 에어 인도,S5,SDG,Active,Regional/Commuter,India,아시아태평양
Star Airways,스타 항공,4S,STB,Ceased Operations,Charter,Albania,유럽
Star Aviation,스타 항공,n/a,DST,Active,Charter,Algeria,중동아프리카
Star East Airline,스타이스트 항공,4R,SEK,Active,Charter,Romania,유럽
Star Equatorial Airlines,스타 적도항공,2S,n/a,Ceased Operations,Regional/Commuter,Equatorial Guinea,중동아프리카
Star Peru,스타 페루,2I,SRU,Active,Regional/Commuter,Peru,중남미
Star1,스타 원 항공,V9,HCW,Ceased Operations,Low Cost Carrier,Lithuania,유럽
Starbow Airlines,스타보우 항공,S9,IKM,Ceased Operations,Regional/Commuter,Ghana,중동아프리카
StarFlyer,스타플라이어,7G,SFJ,Active,Full Service Carrier,Japan,아시아태평양
Starlight Airlines,스타라이트 항공,n/a,SLT,Active,Cargo,United Arab Emirates,중동아프리카
Starlink Aviation,스타링크 항공,n/a,TLK,Active,Regional/Commuter,Canada,북미캐나다
STARLUX Airlines,스타룩스 항공,JX,SJX,Active,Full Service Carrier,Taiwan,아시아태평양
Stars Away Aviation,스타스 어웨이 항공,n/a,STX,Ceased Operations,Charter,South Africa,중동아프리카
Sterna Linhas Aereas,스테나리 린하스 항공,n/a,STR,Active,Cargo,Brazil,중남미
Stobart Air,스토바트 항공,RE,STK,Ceased Operations,Regional/Commuter,Ireland,유럽
STP Airways,STP 항공,8F,STP,Active,Full Service Carrier,Sao Tome and Principe,중동아프리카
Suburban Air Freight,서버반 에어 플라이트,n/a,SUB,Active,Cargo,United States of America,북미캐나다
Suckling Airways,서클링 항공,n/a,n/a,Active,Charter,United Kingdom,유럽
Sudamericana de Aviacion,남미 항공,n/a,n/a,Failed startup,Charter,Ecuador,중남미
Sudan Airways,수단 항공,SD,SUD,Active,Full Service Carrier,Sudan,중동아프리카
Sudanese States Aviation,수단 국영항공,n/a,SNV,Ceased Operations,Cargo,Sudan,중동아프리카
Suid Cargo Airlines,수이드 카고 항공,n/a,n/a,Startup,Cargo,South Africa,중동아프리카
Summit Air,서밋 항공,n/a,n/a,Active,Full Service Carrier,Nepal,아시아태평양
Summit Air Charters,서밋 항공 차터,n/a,SUT,Active,Charter,Canada,북미캐나다
Sun Air Sudan,선 에어 수단,n/a,SNR,Active,Regional/Commuter,Sudan,중동아프리카
Sun Country Airlines,선 컨트리 항공,SY,SCX,Active,Low Cost Carrier,United States of America,북미캐나다
Sun d'Or International Airlines,선도르 국제항공,2U,ERO,Active,Full Service Carrier,Israel,중동아프리카
Sunair Aviation,선에어 항공,n/a,n/a,Active,Regional/Commuter,New Zealand,아시아태평양
SUN-AIR of Scandinavia,선에어 스칸디나비아,EZ,SUS,Active,Charter,Denmark,유럽
Sunan Ruili Airlines,수난 루이리 항공,DR,RLH,Active,Full Service Carrier,China,아시아태평양
SunClass Airlines,선클래스 항공,DK,VKG,Active,Charter,Denmark,유럽
Sundair,선데어,SR,SDR,Active,Charter,Germany,유럽
Sundance Air Venezuela,선댄스 항공 베네수엘라,R8,SUV,Active,Charter,Venezuela,중남미
Sunday Airlines,선데이 항공,n/a,n/a,Active,Charter,Kazakhstan,아시아태평양
